Label,Latitude,Longitude,Proportion
0,52.3881868571429,-1.5093585978022,0.0302727877578177
1,53.6173885804054,-1.57700658783784,0.0492348636061211
2,55.9034852851852,-4.2066842712963,0.0359281437125748
3,50.8864799220339,0.045133913559322,0.0196274118429807
4,51.4236312769231,-0.837399873846154,0.0216234198270126
5,51.5642587692308,-0.392164152564102,0.0259481037924152
6,51.558469,-1.823126375,0.0053226879574185
7,51.4147153753086,-3.38618591851852,0.0269461077844311
8,55.4448886666667,-2.56810366666667,0.000998003992015968
9,52.023299327027,1.09421470540541,0.0123087159015303
10,54.5827765853659,-5.92871268536585,0.0136393878908849
11,53.3633716692308,-3.09991830641026,0.0259481037924152
12,54.94386968125,-7.2584026875,0.0053226879574185
13,52.8286417509202,-1.20947247852761,0.0542248835662009
14,55.9673967037594,-3.22490308947368,0.0442448436460413
15,52.8513509777778,-0.208475388888889,0.0029940119760479
16,51.4213562190476,-2.55992353095238,0.0419161676646707
17,57.1425793642857,-2.11037564285714,0.00465735196274118
18,50.9079914094595,-1.46338908378378,0.0246174318030605
19,57.4765434,-4.20266688888889,0.0029940119760479
20,50.2885769928571,-4.56379875,0.00465735196274118
21,51.5157015947696,-0.115887850933997,0.267132401862941
22,54.8774892285714,-1.54770799761905,0.0279441117764471
23,54.333189,-7.616916,0.000332667997338656
24,51.28593845,-0.563131397916667,0.0159680638722555
25,52.0608208246753,-0.68417317012987,0.0256154357950765
26,52.503705324,-1.939890772,0.041583499667332
27,51.7119008425,-1.263516455,0.0266134397870925
28,53.9162552138889,-0.949071802777778,0.0119760479041916
29,53.5298265446009,-2.33821029671361,0.0708582834331337
30,52.0968029277778,-2.32003028333333,0.00598802395209581
31,52.1911128090909,0.121783711188811,0.0475715236194278
32,52.9045277133333,-2.31110379333333,0.00499001996007984
