Label,Latitude,Longitude,Proportion
0,51.5303963611111,-0.868091938611111,0.0133234641006662
1,53.3584784309091,-1.41922890527273,0.0203552923760178
2,51.4966848971014,-2.63723149275362,0.0255366395262768
3,51.2604154970588,-3.39597188823529,0.0251665433012583
4,52.6054617052632,1.37815563157895,0.00703182827535159
5,52.2970528,0.088080048755102,0.0362694300518135
6,55.8657650342105,-4.22413537105263,0.0281273131014064
7,57.1654290222222,-2.12705721481481,0.00999259807549963
8,54.9524128162162,-1.5896391472973,0.0273871206513694
9,53.3923006304348,-2.90138306630435,0.0340488527017024
10,50.9287631914286,-0.0405913927428571,0.0129533678756477
11,55.8261247214286,-3.374631675,0.0103626943005181
12,51.2970419840336,-0.570968351260504,0.0440414507772021
13,53.4786069212328,-2.23531379794521,0.0540340488527017
14,57.3180258,-4.434530275,0.00148038490007402
15,51.5158256475536,-0.125030816521407,0.242042931162102
16,52.4852904622093,-1.88534398662791,0.0636565507031828
17,58.769472,-3.22716855,0.00074019245003701
18,52.7785194175,-1.22673627425,0.0592153960029608
19,51.2812492764706,1.05241028294118,0.00629163582531458
20,51.7510610033333,-2.07555474,0.0111028867505551
21,52.1343840535714,-0.721777289821429,0.0207253886010363
22,56.4482082444444,-3.00779815,0.00666173205033309
23,50.3423181769231,-4.57641298461538,0.00481125092524056
24,54.9605052210526,-7.26196384736842,0.00703182827535159
25,50.8116657045455,-1.91544483181818,0.00814211695040711
26,54.0889973473684,-2.83363105263158,0.0140636565507032
27,51.5016470088235,0.448806567352941,0.0125832716506292
28,52.6964946428571,-3.99715692857143,0.00518134715025907
29,51.9671692818182,0.993785386666666,0.0122131754256107
30,53.7804770901409,-1.65695979577465,0.0262768319763138
31,54.5853719176471,-5.92894815882353,0.00629163582531458
32,50.9440705261539,-1.35262272615385,0.0240562546262028
33,58.330261,-6.668983,0.000370096225018505
34,51.8430778486487,-0.317625925513514,0.0136935603256847
35,52.834520262069,-2.32447210344827,0.0107327905255366
36,53.8690811661765,-0.665945525382353,0.0251665433012583
37,55.9425644089887,-3.18917411797753,0.0329385640266469
38,51.7456773858824,-1.26273607647059,0.0314581791265729
39,54.5973723333333,-1.33268050833333,0.00444115470022206
