Label,Latitude,Longitude,Proportion
0,51.4999068488372,-2.45421356877077,0.0366090975431768
1,53.8043646168182,-1.61734165818182,0.0267574799318901
2,51.3491045273913,0.333861746569565,0.0279737290197032
3,56.4523807230769,-3.0511716974359,0.00474337144247142
4,53.3272744626728,-3.06753336543779,0.0263926052055461
5,50.3551379404762,-4.58390837857143,0.00510824616881537
6,55.901318642647,-4.19638682610294,0.0330819751885186
7,51.304646845614,-0.479388070526316,0.0693261980053515
8,52.5822579508197,1.27111097967213,0.00741911943566042
9,51.6083966425982,-1.20711355012084,0.0402578448066164
10,57.1495071887324,-2.1308720887324,0.00863536852347361
11,54.933769173913,-7.29125482608696,0.00279737290197032
12,51.5229930561349,-0.130415491480991,0.270615422038433
13,54.1526384181818,-2.83237850909091,0.00802724397956702
14,52.808076739726,-2.38565207808219,0.00887861834103624
15,50.9399444368159,-1.31252828293532,0.024446606665045
16,53.5731857644927,-2.61340311376812,0.0167842374118219
17,54.8606756416216,-1.55480365675676,0.0225006081245439
18,51.9804665687258,-0.647038305984556,0.0315008513743615
19,52.0854583216667,-4.09374406333333,0.0072974945268791
20,52.9394916540984,-0.423888909262295,0.00741911943566042
21,53.3771633140127,-1.42409592624204,0.019095110678667
22,54.6033320157895,-5.9293284631579,0.0092434930673802
23,53.9472221509259,-0.847002524074074,0.0131354901483824
24,51.941264317647,0.919737907254902,0.0124057406956945
25,50.6817612642857,-3.53758728714286,0.00851374361469229
26,57.5300001857143,-4.12039407857143,0.00170274872293846
27,52.2007986842553,0.116739510076596,0.0285818535636098
28,51.2707826367647,1.05139990102941,0.00827049379712965
29,52.4451059170843,-1.84696590159453,0.0533933349549988
30,55.9284228312756,-3.21771580864197,0.0295548528338604
31,50.8240170023529,-1.94557472,0.0103381172464121
32,53.4644497492002,-2.2342391876,0.0608124543906592
33,52.7961219103747,-1.22028841317003,0.0422038433471175
34,51.4850312984962,-3.15861852105263,0.0161761128679154
