Label,Latitude,Longitude,Proportion
0,53.66736460375,-1.486959145625,0.0578661844484629
1,52.0800149482993,-0.802227153401361,0.0531645569620253
2,55.8480672616666,-4.243912365,0.0216998191681736
3,52.1033241945946,-4.11511444864865,0.0133815551537071
4,54.6744576083333,-6.26180753333333,0.00867992766726944
5,52.4417112708334,-1.77149369761905,0.121518987341772
6,52.2666687307692,0.0647473462788461,0.0376130198915009
7,51.5110388330708,-2.82039395433071,0.0459312839059675
8,56.0056464578313,-3.17408291807229,0.0300180831826401
9,57.2316021333333,-2.06767397777778,0.00325497287522604
10,53.3005913044025,-2.31868707924528,0.05750452079566
11,51.3651757216867,-2.06200310240964,0.0300180831826401
12,51.8509254830188,0.891106646415094,0.0383363471971067
13,51.5158538875217,-0.118398534036395,0.208679927667269
14,54.7992706376811,-1.54284870550725,0.0249547920433996
15,51.2383194431818,-1.21755114465909,0.0636528028933092
16,50.5654887870968,-4.26253770645161,0.0112115732368897
17,57.4768121666667,-4.2120707,0.00216998191681736
18,52.9570321292517,-1.09432375143537,0.0531645569620253
19,51.1726529874346,-0.446555649910995,0.0690777576853526
20,53.5571554578125,-2.90078689921875,0.0462929475587703
21,54.9578012,-3.18617754,0.00180831826401447
